,question,equations,operation,answers
302,what percent is this 63 houses finished 28?,28/63=x,Division,0.444444444444
303,what is 10% of 65?,65*0.1=x,Multiplication,6.5
304,"Smallville had a great football team last year. They outpreformed their opponents in almost every category of play. One of their more impressive statistics was that, on average, they outscored their opponents by 3 : n every game they played. If they scored an average of 18 points per game, what was the average number of points scored by their opponents per game? ex",18/3=x,Division,6.0
305,how to work out percentages and what is 10 % out of 18. xxxx,18*0.10=x,Multiplication,1.8
306,4 / 5,4/5=x,Division,0.8
307,i was born in 1995 how old will i be in 2088?,2088-1995=x,Subtraction,93.0
308,The odds in favor of an event E occurring are 11 to 8. What is the probability of E occurring? (Round your answer to three decimal places.),11/19=z,Division,0.578947368421
309,"car travels at 96 miles an hour for 40 minutes, how many miles has the car traveled in this time?",32+32=y,Addition,64.0
310,hat is 75% of 28,0.75*28=x,Multiplication,21.0
311,what is 30$ off a $125 dollar shirt?,125.00-37.50=y,Subtraction,87.5
312,what is 10% of 370.00?,370/10=x,Division,37.0
313,many times can you subtract 5 from 25?,25/5=x,Division,5.0
314,ectangle has an area of 50 sq. in. and a base 10 in. Write and solve an equation to find the height of the rectangle. W,50/10=x,Division,5.0
315,What is 600% of 5?,6*5=y,Multiplication,30.0
316,what is the answer to -5.68 divided by (-0.02)?,5.68/0.02=x,Division,284.0
317,What is 125/tan45?,125/1=x,Division,125.0
318,"your going to travel to montreal, ottawa, halifax and calgary, but the order is arbritrary. You put 4 marbles in bowl, each one labeled for 1 city, and draw randomly. The first marble is teh first city you will visit the second is the second you'll vist. What probability that you will visit ottawa just before or after you visit montreal?",12/24=x,Division,0.5
319,"sum of the digits of a two digit number is 8. When 18 is added to the number, the digits are reversed. Find the number?",17+18=x,Addition,35.0
320,find out 84% of 75,75*0.84=y,Multiplication,63.0
321,7800 is what % of 9750?,x*(9750)=7800,Multiplication,0.8
322,Dividing Decimals and Integers by Decimals 301.5(divided b) 1.34,301.5/1.34=x,Division,225.0
323,what is the 8.25% of $32.94?,(0.0825)*(32.94)=x,Multiplication,2.71755
324,"cago, Illinios and New York, New York are 720 miles apart. If a driver averaged 60 miles per hour, how long will it take her to drive from Chicago to New York?",720=60*z,Multiplication,12.0
325,t is 5% of 80?,0.05=x/80,Division,4.0
326,"are looking up at the top of a tree that is 10 m apart from you. If the tree is 15 m taller than you, at what angle are you looking upward?",15/10=z,Division,1.5
327,what percent of $260 is $5?,5/260=x,Division,0.0192307692308
328,Find the percentage; 35% of 40?,0.35*40=x,Multiplication,14.0
329,What is the equivalent of 3 over 30?,3/30=x,Division,0.1
330,30 percent of what number is 18?,0.30*x=18,Multiplication,60.0
331,what times 1.5 equals 1?,x*1.5=1,Multiplication,0.666666666667
332,Does 24 less than 52 mean to subtract?,52-24=x,Subtraction,28.0
333,"A sum of 3 equal numbers gives 24, what that number is?",3*x=24,Multiplication,8.0
334,40 is what percent of 800?,40=x*800,Multiplication,0.05
335,You have 3 shirts and 4 pairs of pants. How many different outfits can you make?,3*4=x,Multiplication,12.0
336,what is 20 percent of 700?,0.2*700=x,Multiplication,140.0
337,What is 5 percent of 700?,0.05*700=x,Multiplication,35.0
338,"A vegetable garden is 12 meters long by 7 meters wide. In one square meter, count two toads.Estimate the population of toads in the garden.",84*2=x,Multiplication,168.0
339,I have 4 coins. i throw them all. what is the probability that 3 would be heads.,4/16=x,Division,0.25
340,what's 3 divided by 102?,3/102=x,Division,0.0294117647059
341,"pilue means 22 is divided by 7 is, nt i't? th",22/7=x,Division,3.14285714286
342,what percent is 118 of 205?,118/205=z,Division,0.575609756098
343,what 2.3 percent of 527.00 dollars is?,527*0.023=y,Multiplication,12.121
344,dinner bill totaled $25. Mike left a 15% tip. How much money did Mike leave for a tip ?,25*0.15=x,Multiplication,3.75
345,What is 30% of 200?,x=0.3*200,Multiplication,60.0
346,0.00 x .270%,100*0.00027=x,Multiplication,0.027
347,what is 40% of 85?,85*0.4=x,Multiplication,34.0
348,"If 400 people are employed at a company and 52 work at HQ, what percentage is that?",52/400=x,Division,0.13
349,change 33/8 into a decimal?,33/8=x,Division,4.125
350,t is 150% of 75?,1.5*75=y,Multiplication,112.5
351,CD player you want costs $81.50. Your parents have offered to give you 70% of the cost. About how much money will they give you?,81.50*0.7=y,Multiplication,57.05
352,150 is 75% of what number?,0.75*x=150,Multiplication,200.0
353,What percentage is 525/550?,525/550=x,Division,0.954545454545
354,32 is 14% of what number ?,32/0.14=x,Division,228.571428571
355,What is 30 percent of 300?,0.3*300=y,Multiplication,90.0
356,d the product of 3(26) using the distributive property,3*(26)=x,Multiplication,78.0
357,find 10% of a 1.50,0.1*1.50=y,Multiplication,0.15
358,what does 10% of 50 equal?,0.10*50=z,Multiplication,5.0
359,Whats the product of 0.4 and 9?,0.4*9=x,Multiplication,3.6
360,"Charles bought a used car and later sold it for a 20% profit. If he sold it for $4596, how much did rles pay for the used car?",4596=1.2*x,Multiplication,3830.0
361,What is 4 divided by square root of 5?,4/2.236=x,Division,1.78890876565
362,what is 25 percent of 10000?,0.25*10000=m,Multiplication,2500.0
363,( 41 - -4 )?,41+4=x,Addition,45.0
364,"You pass a road sign saying ""New York 153 km."" If you drive at a constant speed of 65 mi/h, how long should it take you to reach New York? (Round to the nearest minute.)",z=95.625/65,Division,1.47115384615
365,How can I find out 15% of $200 with a calculator?,0.15*200=y,Multiplication,30.0
366,What is 25% of 40?,x=0.25*40,Multiplication,10.0
367,What is the probability of getting a 2 or a 12 on two dice?,2/36=x,Division,0.0555555555556
368,Regular price for a coat is $120. It is on sale for 25% off the regular price. What is the SALE price of the coat?,120*0.75=x,Multiplication,90.0
369,10% of $560?,0.1*560=x,Multiplication,56.0
370,to figure out what 15 percent of 24 is,24*0.15=x,Multiplication,3.6
371,t is 3.9% of 2500 billion?,0.039*2500=x,Multiplication,97.5
372,A car gets 21 mpg. How many miles can it get if the tank is full with 14 gallons?,21*14=x,Multiplication,294.0
373,if something cost 18$ and the tax is 7.75%. what would the item cost?,1.0775*18=x,Multiplication,19.395
374,What's 30% off of 54 dollars ?,54*0.7=x,Multiplication,37.8
375,t is 3% of 300?,x/300=0.03,Division,9.0
376,"A PARALLELOGRAM ABCD ,dia gonal ac measures 34m and the perpendicular of ac from either of the vertices B and D is 12m.find the area of the parallelogram.",34*12=z,Multiplication,408.0
377,"you made 450.00, fica tax is 12.00, so on and so forth, what is the percentage, h",12/450=x,Division,0.0266666666667
378,What is 58 divided by 6?,58/6=x,Division,9.66666666667
379,"If I have a line that is 10 inches long. I want to divide it into 16 equal parts, how long must each part be?",(10/16)=n,Division,0.625
380,"If Betty drove 350 miles on 15 gallons, what miles per gallon was she able to get?",350/15=x,Division,23.3333333333
381,what number is 80% of 250?,250*(0.8)=x,Multiplication,200.0
382,What percent of 980 is 294?,x*980=294,Multiplication,0.3
383,"I have to travel 88 miles, how long should that take driving 55 mph?",88/55=x,Division,1.6
384,what is 5 out of 8 OR __%?,5/8=x,Division,0.625
385,". Whatever wants to make a 150 square foot rectanguala vegetable garden alon thge side of her garage. If the garage is 20 feet long, how side should the garden be?",x=150/20,Division,7.5
386,least common multiple 45 and 54?,54*5=y,Multiplication,270.0
387,0.7 is 19% of what number? _____?,0.19*x=0.7,Multiplication,3.68421052632
388,What is 5 over 6 as a decimal?,5/6=x,Division,0.833333333333
389,$49 paid for restaurant and a 15% tip. How much would the tip be?,49*0.15=x,Multiplication,7.35
390,What is the square footage of a 12 x 15 room?,12*15=x,Multiplication,180.0
391,What ise LCM of 6 and 27 ann,27*2=x,Multiplication,54.0
392,Ihe VAT is increased to 19%. What divisor (correct to 5 significant figures) is needed to find the VAT part of the total price?,1/0.19=x,Division,5.26315789474
393,What is 20% of $20?,0.2*20=y,Multiplication,4.0
394,What does 3/4 equal is it?,3/4=x,Division,0.75
395,What percentage 39 is of 68?,39=x*68,Multiplication,0.573529411765
396,What's 29% of $500?,0.29*500=x,Multiplication,145.0
397,ave a 6 yard by 4 yard piece of cloth. What is the area of the largest circular piece that can be cut? l ve answer in terms of pi. E,3.14*4=y,Multiplication,12.56
398,There are 2.54 centimeters in an inch. How many centimeters are in 1 foot?,2.54*12=x,Multiplication,30.48
399,What is 189 divided by 243 in a fraction simplest form?,189/243=x,Division,0.777777777778
400,what is 9% of 15?,x=0.09*15,Multiplication,1.35
401,What percent of 50 is 12?,x*50=12,Multiplication,0.24
402,"The 3 pound lemon cost $1.44, what was the cost per pound?",1.44/3=x,Division,0.48
403,many yards are contained in 324.1 centimeters? ( yard= 91.46 centimeters),324.1/91.46=x,Division,3.54362562869
404,"Can anyone convert this into square feet, please? feet 3 inches foot 4 inches",3.25*1.33=x,Multiplication,4.3225
405,What number decreased by 20% is 16?,x=16/0.8,Division,20.0
406,A rectangle measures 25 cm by 10 cm. What is its area?,25*10=x,Multiplication,250.0
407,Suppose that blood is 92% water. Find the decimal notation for 92%.,92/100=y,Division,0.92
408,3 divided by 2.9 te?,82.3/2.9=x,Division,28.3793103448
409,What is 600 over 1125 ( thats a fraction) when simplified to lowest terms?,600/1125=n,Division,0.533333333333
410,area of Lake Ontario is about 8% of the total area of the Great Lakes. Th area of Lake Ontario is about 7576.8 square miles. Wht is the area of the Graet Lakes?,7576.8=0.08*x,Multiplication,94710.0
411,"a doctor prescribed 36 pills and directed you to take them every 4 hours, how many days would they last?",24/4=x,Division,6.0
412,"all of Malaysian rubber, displayed in a museum of science and technology rolled off the 1.25 meter high display table and onto the floor. It bounced, rose to a height of 0.75 meter, and was caught at t top of it's bounce. at fraction of the original height was the bounce height of the ball? A",0.75/1.25=x,Division,0.6
413,Kyle took 6 hours to drive 252 miles. What was the rate of her travel in miles per hour? W(A)mph (B)mph (C)mph (D)mph,252/6=x,Division,42.0
414,What is 23 Percent of 20?,0.23*20=y,Multiplication,4.6
415,What % of 0.8 is 0.2?,0.2/0.8=x,Division,0.25
416,What is 30% of 20g?,0.3*20=y,Multiplication,6.0
417,6 is 40% of what number?,0.4*x=6,Multiplication,15.0
418,Solve for x: 24 is 60% of x?,0.6*x=24,Multiplication,40.0
419,I scored 35 on a test with 45 questions. What is the percentage I got right?,35/45=x,Division,0.777777777778
420,What grade % is 12 out of 14?,12/14=x,Division,0.857142857143
421,Hdo you know that 7 divided by 9 less then a?,7/9=x,Division,0.777777777778
422,A roof rises 9.75 ft over a horizontal distance of 17.24 ft. What is the slope of the roof to the nearest hundredth?,9.75/17.24=x,Division,0.565545243619
423,what does 255 divided by 15 equal?,255/15=x,Division,17.0
424,75 is what percent of 80?,80*x=75,Multiplication,0.938
425,question is find percent notation for 11/16,11/16=x,Division,0.6875
426,what is 20% of 182?,182*0.2=x,Multiplication,36.4
427,198 is 60% of what number?,0.6*x=198,Multiplication,330.0
428,How do i add radical 121 and radical 100 with a radical answer?,11+10=x,Addition,21.0
429,"A semicircular window of radius 15 inches is to be laminated with a sunblock coating that costs $0.85 per square inch to apply. What is the total cost of coating the window, to the nearest cent?",353.25*0.85=m,Multiplication,300.2625
430,"els are Five hundred pixels per square inch creates a good picture ho.w many pixels would there be in a 3"" x 5"" picture?",15*500=x,Multiplication,7500.0
431,what is 40% of $65.00?,4*6.50=x,Multiplication,26.0
432,24 is 75% of what number?,24/x=0.75,Division,32.0
433,mathematical percentage? 16600 out of 19600,16600/19600=y,Division,0.84693877551
434,Amy paid $87.54 for a pair of running shoes during a 25% off sale. What was the regular price?,87.54=0.75*x,Multiplication,116.72
435,people decide to do podiatry course in total. 2 of them didn't originally make the standard of high school scores to get into the course but were still accepted. many people are in this 2%?,0.02*144=y,Multiplication,2.88
436,What is 10 percent of 35 cents?,35*0.1=x,Multiplication,3.5
437,"a class of 32 students, 4 were absent on monday. What percent of the students were absent monday? Ho",4/32=y,Division,0.125
438,"i got a 16 out of 26 right, what is my grade?",16/26=x,Division,0.615384615385
439,What's 15% of$£4.50,0.15*4.5=y,Multiplication,0.675
440,Mr. Hernandez had to interview a total of 63 house holds in his assignment. He has already finished 28. What percentage of the households did he finished? ( Round your andswer to the nearest tenth of a percent.).,28/63=x,Division,0.444444444444
